pno	dockind	pnyear	pndate	pnkind	authority	ti	appno	appyear	appdate	firstpriyear	priyear	prino	inventor	inventor-count	assignee	assignee-count	claims-count	independent-claims-count	total-references-cited-count	reference-count	citation-count	non-patent-count	ipc	cpc	app_gp	
US10883084B2	Grant	2021	2021-01-05	B2	US	Personalized cells, tissues, and organs for transplantation from a humanized, bespoke, designated-pathogen free, (non-human) donor and methods and products relating to same	US16830213	2020	2020-03-25	2020	2020	US16830213__2020-03-25_national	US`Holzer Paul W.` ` ` ` ` ;US`Adkins Jon` ` ` ` ` ;US`Monroy Rodney L.` ` ` ` ` ;US`Chang Elizabeth J.` ` ` ` `	4	US`XENOTHERAPEUTICS, INC.` `XENOTHERAPEUTICS`corporate` ` ;US`XENOTHERAPEUTICS CORPORATION` `XENOTHERAPEUTICS`corporate` `	2	20	2	637	210	0	427	A01K 67/027;C12N 5/071;A61K 35/12;C12N 15/10;C12N 15/113;C12Q 1/14	C12N 5/0697;A01K 67/0278;A61K 35/12;C12N 15/102;C12N 15/113;C12Q 1/14;A01K 2207/15;A01K 2227/108;A01K 2267/025;C12N 2310/20;C12N 2800/80	US`XENOTHERAPEUTICS	
JP3229832UU	Grant	2020	2020-12-17	U	JP	In currency management organization	JP20200004261U	2020	2020-10-01	2020	2020	JP2020004261__2020-10-01_docdb;JP20200004261U___epodoc	`孫  成一`東京都千代田区大手町  株式会社ebs内` ` ` `	1	`EBS CO LTD` `EBS`corporate` `	1	1	1	4	4	0	0	G06Q 10/10;G06Q 20/10;G06Q 40/02	 	EBS	
US2020368545A1	Application	2020	2020-11-26	A1	US	DEVICE FOR ELECTRICAL AND MAGNETIC TISSUE STIMULATION	US201816764530	2018	2018-11-17	2017	2017	CONC2017/0011756__2017-11-17_national	CO`VELASCO VALCKE Francisco Javier` ` ` ` `	1	US`PANACEA QUANTUM LEAP TECHNOLOGY LLC` `PANACEA QUANTUM LEAP TECHNOLOGY`corporate` `	1	20	4	0	0	0	0	A61N 2/00;A61N 1/04	A61N 1/00;A61N 2/00;A61N 1/0428;A61N 1/0468;A61N 2/002	US`PANACEA QUANTUM LEAP TECHNOLOGY	
EP3730033A1	Application	2020	2020-10-28	A1	EP	CORNEAL CONFOCAL MICROSCOPE	EP20200170290	2020	2020-04-20	2019	2019	IT201900006254__2019-04-23_national;IT201900006254__2019-04-23_docdb;201900006254___original;IT201900006254___epodoc	IT`PASCOLINI, Michele`Via Barozzi, 10-5` ` ` ` ;IT`MINOZZI, Mattia`Via XI Febbraio, 15/D` ` ` ` ;IT`CODOGNO, Nicola`Via Santa Lucia, 59/ANT` ` ` ` ;IT`PAJARO, Ronnye`Via F.lli Rosselli, 1` ` ` ` ;IT`CARRARO, Federico`Via Carducci, 14` ` ` ` ;IT`TISO, Christian`Vic. Vivaldi, 24` ` ` ` ;IT`TANASSI, Cesare`Via Peron, 1` ` ` `	7	IT`Nidek Technologies S.R.L.` `NIDEK TECHNOLOGIES`corporate` ` ;JP`Nidek Co., Ltd.` `NIDEK`corporate`NIDEK`	2	14	1	6	6	0	0	A61B 3/10	A61B 3/1025	IT`NIDEK TECHNOLOGIES S R L;JP`NIDEK	
US10796782B2	Grant	2020	2020-10-06	B2	US	System, method and apparatus to enhance privacy and enable broad sharing of bioinformatic data	US201615560562	2016	2016-03-23	2016	2016	US201615560562__2016-03-23_national	US`Shelton Robert` ` ` ` `	1	US`PRIVATE ACCESS, INC.` `PRIVATE ACCESS`corporate` ` ;US`Shelton Robert` ` ` ` `	2	11	10	22	20	0	2	G16B 20/00;G06F 21/62;G16B 30/00;G16B 50/00;G16H 10/60;G16H 50/70;G16H 80/00	G06F 21/6245;G16B 20/00;G16B 30/00;G16B 50/00;G16H 10/60;G16H 50/70;G16H 80/00;G16B 20/00 ;G16B 50/00 ;G16B 30/00 ;G16H 80/00 ;G16H 50/70 ;G16H 10/60 ;G06F 21/6245 ;G06F 21/6245  ;G06F 21/6218	US`PRIVATE ACCESS;US`SHELTON ROBERT	
WO2020198397A1	Application	2020	2020-10-01	A1	WO	PERSONALIZED CELLS, TISSUES, AND ORGANS FOR TRANSPLANTATION FROM A HUMANIZED, BESPOKE, DESIGNATED-PATHOGEN FREE, (NON- HUMAN) DONOR AND METHODS AND PRODUCTS RELATING TO SAME	WO2020US24780	2020	2020-03-25	2019	2019;2020	US62975611__2020-02-12_national;US62848272__2019-05-15_national;US62964397__2020-01-22_national;WOUS19054833__2019-10-04_international;US62823455__2019-03-25_national;US202062975611__2020-02-12_docdb;US201962848272__2019-05-15_docdb;US202062964397__2020-01-22_docdb;US2019054833__2019-10-04_docdb;US201962823455__2019-03-25_docdb;62/975,611___original;62/848,272___original;62/964,397___original;PCT/US2019/054833___original;62/823,455___original;US202062975611P___epodoc;US201962848272P___epodoc;US202062964397P___epodoc;WO2019US54833___epodoc;US201962823455P___epodoc	US`HOLZER, Paul, W.`P.O. Box 1288, Grantham, NH 03753` ` ` ` ;US`ADKINS, Jon`18 Crosby Lane, Londonderry, NH 03053` ` ` ` ;US`MON ROY, Rodney, L.`715 Via Del Sol, North Fort Myers, FL 33903` ` ` ` ;US`CHANG, Elizabeth, J.`8050 Barony Woods, Pittsford, NY 14534` ` ` `	4	US`XENOTHERAPEUTICS, INC.` `XENOTHERAPEUTICS`corporate` ` ;US`XENOTHERAPEUTICS CORPORATION` `XENOTHERAPEUTICS`corporate` `	2	121	13	96	48	0	48	A01K 67/027;A61K 35/36	A01K 67/0271;A01K 2227/108;A01K 2267/025	US`XENOTHERAPEUTICS	
EP3711812A1	Application	2020	2020-09-23	A1	EP	DEVICE FOR ELECTRICAL AND MAGNETIC TISSUE STIMULATION	EP20180878622	2018	2018-11-17	2017	2017;2018	CO17011756__2017-11-17_national;CO2017011756__2017-11-17_docdb;IB2018059075__2018-11-17_docdb;17011756___original;IB2018059075___original;CO20170011756___epodoc;WO2018IB59075___epodoc	CO`VELASCO VALCKE, Francisco Javier`Carrera 5 No. 34 - 03` ` ` `	1	US`Panacea Quantum Leap Technology LLC` `PANACEA QUANTUM LEAP TECHNOLOGY`corporate` `	1	19	2	0	0	0	0	A61N 1/00	A61N 1/00;A61N 2/00;A61N 1/0428;A61N 1/0468;A61N 2/002	US`PANACEA QUANTUM LEAP TECHNOLOGY	
JP2020141695A	Application	2020	2020-09-10	A	JP	METHOD FOR INDUCING T CELLS FOR IMMUNOCYTOTHERAPY FROM PLURIPOTENT STEM CELLS	JP20200089304	2020	2020-05-22	2014	2014	US62026332__2014-07-18_national;US62026341__2014-07-18_national;US201462026332__2014-07-18_docdb;US201462026341__2014-07-18_docdb;62/026,332___original;62/026,341___original;US201462026332P___epodoc;US201462026341P___epodoc	`KAWAMOTO HIROSHI`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`KANEKO ARATA`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`MASUDA KYOKO`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`MINAMIKAWA ATSUTAKA`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`HOTTA AKITSU`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`SHIMAZU YUTAKA`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` ` ;`ICHINOSE HIROSHI`京都府京都市左京区吉田本町番地  国立大学法人京都大学内` ` ` `	7	`KYOTO UNIV` `KYOTO UNIVERSITY`university`KYOTO UNIVERSITY` ;`THYAS CO LTD` `THYAS`corporate` `	2	16	7	12	4	0	8	C12N 5/0783;A61K 35/17;A61K 35/545;A61P 31/00;A61P 35/00;A61P 37/02;A61P 37/06;A61P 37/08;C12N 5/10;C12N 15/09;C40B 50/06	A61K 35/17;A61P 35/00;A61K 35/14;C12N 5/0638;C12N 5/0696;C12N 2501/515;C12N 2506/45;C12N 2510/00;C12N 5/10	KYOTO UNIVERSITY;THYAS	
US2020283737A1	Application	2020	2020-09-10	A1	US	PERSONALIZED CELLS, TISSUES, AND ORGANS FOR TRANSPLANTATION FROM A HUMANIZED, BESPOKE, DESIGNATED-PATHOGEN FREE, (N0N-HUMAN) DONOR AND METHODS AND PRODUCTS RELATING TO SAME	US202016830213	2020	2020-03-25	2020	2020	US202016830213__2020-03-25_national	US`HOLZER Paul W.` ` ` ` ` ;US`ADKINS Jon` ` ` ` ` ;US`MONROY Rodney L.` ` ` ` ` ;US`CHANG Elizabeth J.` ` ` ` `	4	US`XENOTHERAPEUTICS, INC.` `XENOTHERAPEUTICS`corporate` ` ;US`XENOTHERAPEUTICS CORPORATION` `XENOTHERAPEUTICS`corporate` `	2	30	6	0	0	0	0	C12N 5/071;A01K 67/027;A61K 35/12;C12N 15/10;C12N 15/113;C12Q 1/14	A01K 67/0278;A01K 2207/15;A01K 2227/108;A01K 2267/025;A61K 38/00;C12N 5/0625;C12N 15/102;C12N 15/113;C12N 2310/20;C12N 2517/02;A61K 35/12;C12N 5/0697;C12N 2800/80;C12Q 1/14	US`XENOTHERAPEUTICS	
FI20197045A1	Grant	2020	2020-09-09	A1	FI	Method and system to distribute and present confidential information on the Internet	FI20190007045	2019	2019-03-08	2019	2019	FI20197045__2019-03-08_docdb;FI20190007045___epodoc	FI`Hälikkä, Antero` ` ` ` ` ;FI`WELLING JARI` ` ` ` `	2	FI`Curiositas Ltd Oy` `CURIOSITAS`corporate` `	1	0	0	0	0	0	0	G06Q 10/10;G06F 3/06;G06F 16/11;G06F 16/13;G06F 16/955;G06Q 30/06;G06Q 50/18;G06Q 50/20;H04L 9/32;H04L 29/06;H04L 29/08	G06F 21/6218;G06F 21/6245;G06F 16/972;H04L 51/18;H04L 65/4015;H04L 67/02;H04L 67/06;H04L 63/10;G06F 3/0601;G06Q 10/101;G06Q 30/0611;G06Q 50/18;G06Q 50/20;G06F 16/11;G06F 16/13;G06F 16/955;H04L 9/3226;H04L 29/06782;H04L 29/06965;H04L 63/083;H04L 63/168;G06F 16/9538;H04L 51/22;H04L 65/1069;H04W 84/042;H04W 76/12	FI`CURIOSITAS OY	
